saya	I
aku	I
anda	you
kamu	you
dia	he/she
kami	we
kita	we
mereka	they
ini	this
itu	that
adalah	is
dengan	with
untuk	for
dari	from
pada	on
dalam	in
tentang	about
atau	or
dan	and
jika	if
maka	then
akan	will
sudah	already
belum	not yet
tidak	not
bukan	not
bisa	can
dapat	can
harus	must
boleh	may
ingin	want
mau	want
pergi	go
datang	come
pulang	go home
makan	eat
minum	drink
tidur	sleep
bangun	wake up
kerja	work
bekerja	work
belajar	study
baca	read
membaca	read
tulis	write
menulis	write
dengar	hear
mendengar	hear
lihat	see
melihat	see
bicara	speak
berbicara	speak
bilang	say
katakan	say
menjawab	answer
bertanya	ask
tolong	please
maaf	sorry
terima kasih	thank you
sama	same
sekali	once
sangat	very
lebih	more
kurang	less
juga	also
hanya	only
baik	good
buruk	bad
besar	big
kecil	small
tinggi	tall
rendah	low
cepat	fast
lambat	slow
baru	new
lama	old
pagi	morning
siang	afternoon
sore	evening
malam	night
hari	day
minggu	week
bulan	month
tahun	year
waktu	time
sekarang	now
nanti	later
kemarin	yesterday
hari ini	today
besok	tomorrow
tempat	place
rumah	house
sekolah	school
kantor	office
pasar	market
jalan	road
kota	city
desa	village
negara	country
indonesia	Indonesia
bahasa	language
inggris	English
apa	what
siapa	who
di mana	where
kapan	when
mengapa	why
bagaimana	how
berapa	how many
ya	yes
oke	okay
air	water
nasi	rice
teh	tea
kopi	coffee
susu	milk
roti	bread
buah	fruit
sayur	vegetable
daging	meat
ikan	fish
ayam	chicken
uang	money
harga	price
beli	buy
jual	sell
bayar	pay
mahal	expensive
murah	cheap
panas	hot
dingin	cold
hujan	rain
matahari	sun
bintang	star
langit	sky
bumi	earth
laut	sea
gunung	mountain
sungai	river
hutan	forest
pohon	tree
bunga	flower
hewan	animal
burung	bird
kucing	cat
anjing	dog
motor	motorcycle
mobil	car
bus	bus
kereta	train
pesawat	airplane
kapal	ship
komputer	computer
telepon	phone
handphone	phone
internet	internet
aplikasi	application
pesan	message
email	email
foto	photo
video	video
musik	music
film	movie
buku	book
cerita	story
berita	news
olahraga	sport
cinta	love
kasih	love
sayang	dear
keluarga	family
ayah	father
ibu	mother
anak	child
saudara	sibling
teman	friend
sahabat	best friend
orang	person
manusia	human
dunia	world
hidup	life
mati	dead
sehat	healthy
sakit	sick
obat	medicine
dokter	doctor
selamat pagi	good morning
selamat siang	good afternoon
selamat sore	good evening
selamat malam	good night
apa kabar	how are you
nama saya	my name is
saya suka	I like
saya ingin	I want
saya mau	I want
terima kasih banyak	thank you very much
sama-sama	you're welcome
permisi	excuse me
dengan senang hati	with pleasure
sampai jumpa	see you
sampai ketemu	see you
hati-hati	be careful
semoga berhasil	good luck
selamat ulang tahun	happy birthday
selamat datang	welcome
silakan masuk	please come in
berapa harganya	how much is it
di mana toilet	where is the toilet
saya tidak mengerti	I don't understand
bisakah anda mengulang	can you repeat
tolong bantu saya	please help me
makanan	food
minuman	drink
pekerjaan	job
pendidikan	education
kesehatan	health
kebahagiaan	happiness
kesedihan	sadness
perasaan	feeling
pikiran	thought
ide	idea
masalah	problem
solusi	solution
jawaban	answer
pertanyaan	question
contoh	example
alasan	reason
tujuan	goal
hasil	result
proses	process
cara	way
metode	method
alat	tool
bahan	material
warna	color
merah	red
biru	blue
hijau	green
kuning	yellow
hitam	black
putih	white
satu	one
dua	two
tiga	three
empat	four
lima	five
enam	six
tujuh	seven
delapan	eight
sembilan	nine
sepuluh	ten
gak	not
nggak	not
enggak	not
aja	just
banget	very
bgt	very
pengen	want
ngomong	talk
liat	see
denger	hear
capek	tired
males	lazy
saya butuh	I need
aku butuh	I need
tolong bantu	please help
tidak bisa	cannot
sudah selesai	already finished
mau makan	want to eat
mau minum	want to drink
mau pergi	want to go
aku suka	I like
berapa harga	how much
dengan senang hati	gladly
saya mengerti	I understand
saya tidak tahu	I don't know
bisa diulang	can you repeat
satu kali	once
dua kali	twice
setiap hari	every day
minggu depan	next week
bulan lalu	last month
tahun ini	this year
rumah sakit	hospital
kantor polisi	police station
stasiun kereta	train station
bandara	airport
restoran	restaurant
toilet	restroom
tidak	no
mungkin	maybe
tentu	of course
segera	soon
disini	here
disana	there
